CPD,15/04/2016,Brendan Smyth ,,Construction Employers Federation NI (CEF),CEF annual dinner,Role in CIFNI,N/A,£50.00,Declined
CPD,15/04/2016,Des Armstrong,,Construction Employers Federation NI (CEF),CEF annual dinner,Role in CIFNI,N/A,£50.00,Declined
CPD,21/04/2016,Des Armstrong,,Royal Society of Ulster Architects (RSUA),RSUA dinner,Role in CIFNI,N/A,£50.00,Accepted
CPD,26/04/2016,Des Armstrong,,Construction Employers Federation NI (CEF),CEF annual dinner,Role in CIFNI,N/A,£50.00,Accepted
CPD,07/06/2016,Gareth Johnston,,Intertrade Ireland,Invitation to dinner re meet the buyer event,Joint venture with Intertrade Ireland,N/A,£25.00,Accepted
CPD,14/06/2016,Sharon Smyth,,White Paper Conference Company,Bottle of champagne,"Panel member at awarding contracts conference, 10/05/16",N/A,£58.00,Accepted and raffled for Action Cancer charity
CPD,22/06/2016,Des Armstrong,,AECOM,Dinner invitation,Not known,N/A,£40.00,Declined
CPD,26/05/2016,Brendan Smyth,,Royal Society of Ulster Architects (RSUA),RSUA design awards gala,Role in CIFNI,N/A,£50.00,Accepted 
CPD,19/05/2016,Brendan Smyth,,Vaughan Engineering,Vaughan engineering group golf day,Networking,N/A,£100.00,Declined
CPD,24/08/2016,Brendan Smyth,,Graham Construction,Launch of acute services block at Ulster Hospital,Showcase delivered project,N/A,£30.00,Declined
CPD,25/08/2016,Brendan Smyth,,Cundall,40th celebration party,Role within design team,N/A,£50.00,Declined
CPD,06/10/2016,Des Armstrong,,Construction Employers Federation NI (CEF),CEF gala dinner,Role in CIFNI,N/A,£50.00,Declined
CPD,12/10/2016,Des Armstrong,,KPMG,Invite to preview of RUA of arts exhibit,Networking,N/A,£50.00,Declined
CPD,01/11/2016,Brendan Smyth,,Institute of Healthcare Engineering and Estate Management (IHEEM),Presidents address & awards ceremony,Role in CIFNI,N/A,£50.00,Declined
CPD,09/11/2016,Des Armstrong,,BIFM Ireland,BIFM Ireland region summit,Networking,N/A,£50.00,Declined
CPD,08/12/2016,Des Armstrong,,Institution Of Civil Engineers,Ice NI annual dinner 2016,Ice member,N/A,£59.00,Accepted
CPD,25/01/2017,Gareth Johnston,,Social Enterprise NI,Conference dinner  Ramada encore,Pre-consultation on social value,N/A,£30.00,Accepted
CPD,09/02/2017,Des Armstrong,,Institute of Directors NI,Annual dinner,Engagement on procurement matters,N/A,£50.00,Accepted
CPD,09/02/2017,Des Armstrong,,Belfast Metropolitan College,To attend IOD dinner as their guest,Engagement on procurement matters,N/A,£50.00,Declined
CPD,21/03/2017,Sharon Smyth,,BiP Solutions LTD,To attend national GO awards gala dinner,In appreciation of ongoing support to the overall awards programme,N/A,£50.00,Declined
CPD,22/03/2017,Des Armstrong,,Competitions Market Authority (CMA),Lunch reception,Engagement on procurement matters,N/A,£30.00,Accepted
CPD,28/03/2017,Des Armstrong,,Specialist Engineering Contractors Group (SEC),To attend SEC dinner as guest,Engagement on procurement matters,N/A,£50.00,Declined
CPD,15/02/2017,Gareth Johnston,,CITI Bank,Networking dinner ,Networking for diversity leads from various organisations,N/A,£50.00,Accepted
CPD,25/01/2017,Gareth Johnston,,Social Enterprise NI,Networking dinner,Networking for Social Enterpriseni,N/A,£15.00,Accepted
DSO,13/04/169,Hugh Widdis,,DFP,A Conversation with a purpose: Diversity and Female Representation at Board Level,Business,N/A,£5.00,Accepted
DSO,18/05/2016,Hugh Widdis,,CEF - CIMA,Joining the dots,Business,N/A,£5.00,Accepted
DSO,25/05/16,Hugh Widdis,,Maria Anderson,Ombudsman and NIHRC International Conference on Human Rights - A 21st Century approach to the work of Ombudsmen,Business,N/A,£5.00,Accepted
DSO,08/09/2016,Hugh Widdis,,Liam McCollum QC,Opening of the Legal Year Dinner,Business,N/A,£50.00,Accepted
DSO,15/09/2016,Hugh Widdis,,Prof. Sally Wheeler,"Openin of New Legal School, hosted but the President and Vice Chancellor, Prof Patrick Johnston",Business,N/A,£20.00,Accepted
DSO,16/09/2016,Hugh Widdis,,"Daniel J Lawton, The Counsul General of the United States Of America",Reception in honour of the visiting US delegation of the American Counsel of Young Political Leaders,Business,N/A,£20.00,Accepted
DSO,21/10/2016,Hugh Widdis,,Massimo Magee - Attorney General (London),"The Advocate General for NI, Rt Hon Jeremy Wright QC mp, Invites you to join him for a lunchtime reception",Business,N/A,£15.00,Accepted
DSO,09/02/2017,Hugh Widdis,,Majella McCloskey,Invitation to G3 Leadership Development Launch Dinners,Business,N/A,£5.00,Accepted
DSO,09/03/2017,Hugh Widdis,,George Hanna,To speak at G5 Leadership Programme,Business,N/A,£5.00,Accepted
DSO,04/04/2017,Hugh Widdis,,QUB,The MacDermott Lecture 2017 and drinks reception,Business,N/A,£20.00,Accepted
DSO,01/01/2017,Claire Archbold,,US Embassy,Photographic Calendar (Scenic views of USA) ,Business,N/A,£8.00,Accepted
DSO,01/01/2017,Claire Archbold,,QUB,Dinner in honour of Guest Speaker Christine Bell,Business,N/A,£25.00,Accepted
DSO,2016/2017,Claire Archbold,,Irish Centre of European Law,Dinner in honour of guest speaker (Justice Fidelma Mackin,Business,N/A,£20.00,Accepted
ESS,23/03/2016,Paul Wickens ,,"Paul Murnaghan, BT",NI Chamber of Commerce Champions Dinner - 4 May 2016,,Long term strategic partner,£60.00,Declined
ESS,24/03/2016,Caron Alexander ,,Kainos ,Institute of Engineering & Technology Annual NI Network Dinner Europa Hotel,Network Dinner ,Sub contractor with Long term strategic Partner BT,£60.00,Accepted
ESS,06/04/2016,Caron Alexander ,,Esri Ireland,NI Chamber of Commerence Champions Dinner 4 May 2016 Waterfront Conf Centre ,Networking ,None,£60.00,Accepted
ESS,13/04/2016,Caron Alexander ,,Deloitte MCS Ltd,CBI Annual Dinner - 19 May 2016 ,Networking ,Consultancy on digital transformation,£60.00,Accepted
ESS,13/04/2016,Caron Alexander ,,Eir Business NI ,NI Chamber Champions Dinner - 4th May 2017,Networking ,Long term strategic partner,£60.00,Declined
ESS,27/04/2016,Paul Wickens ,,Kainos Lee Wright ,Digital Leaders 100 Awards ,,Sub contractor with Long term strategic Partner BT,£60.00,Declined
ESS,10/11/2016,Paul Wickens ,,IDC,"IDC CIO summit 18-119 Sept 2017, Palma",Workshop participant,None,£400.00,Accepted
ESS,05/05/2016,Paul Wickens ,,CEF,"Private Dinner 2 June 2016, Deanes' Meat Locker",Guest,None,£60.00,Accepted
ESS,18/05/2016,Paul Wickens ,,Deloitte Digital ,Digital DNA VIP Dinner 7 June 2016,Guest,Consultancy on digital transformation,£60.00,Declined
ESS,18/05/2016,Paul Wickens ,,IDC,Executive Dinner 5 July 2016,Guest ,None,£60.00,Declined
ESS,07/06/2016,Paul Wickens ,,Irish Exporters Association ,Private Finance Lunch ,,None,£40.00,Declined
ESS,15/06/2016,Caron Alexander ,,"Darren Lemon, eir Business NI ","CBI NI Annual Lunch, Titantic, Belfast ",Guest ,Long term strategic partner,£40.00,Declined
ESS,10/08/2016,Paul Wickens ,,"Noel Brady, Consult Nb1 Ltd",IoD Lunch - 14 October 2016,Guest ,None,£40.00,Declined
ESS,10/08/2016,Paul Wickens ,,"Noel Brady, Consult Nb1 Ltd",Breakfast ,Guest ,None,£10.00,Accepted
ESS,22/08/2016,Paul Wickens ,,"Jackie Henry, Deloitte","Non-Executive Director's, Breakfast Brexit - What's next for NI economy ",Guest ,Consultancy on digital transformation,£20.00,Declined
ESS,25/08/2016,Caron Alexander ,,"Jason Kwok, HPE Software, Canada ",HPE Canada Government Summit on 22 Sept 2016 (Flights and accommodation),Speaking Engagement and meetings with Canadian Government,Cloud Contract with HPE 2015 - 2019,"£1,250.00",Accepted
ESS,01/08/2016,Paul Wickens ,,IPQC - SSON,"Public Sector Transformation, 21-22 November 2016, Sydney - flights and accommodation",Conference Chair and keynote speaker,None,"£3,000.00",Accepted
ESS,19/09/2016,Caron Alexander ,,"Martin Murphy, HPE","Lunch, 14 October 2016",,Cloud Contract with HPE 2015 - 2019,£40.00,Accepted
ESS,22/09/2016,Paul Wickens ,,"Brendan Monaghan, Neueda Consulting ","UK IT Industry Awards 16 November 2016, London ",,Digital Transformation,£60.00,Accepted
ESS,04/10/2016,Paul Wickens ,,IDC,IDC's Pan European Digital Summit 2017 - 12-13 June 2017,Advisory Board Member ,None,£400.00,Accepted
ESS,25/10/2016,John Crosby,,"Brian Morrissey, BT","NI Chamber of Commerce President's Banquest - 1st Dec, Waterfront Hall",Stakeholder Engagement,Existing long term strategic partner,£60.00,Accepted
ESS,25/10/2016,Paul Wickens ,,"laura Gibson, Citi Group ",Citi Public Sector Overview ,Lunch ,None,£40.00,Accepted
ESS,28/10/2016,Paul Wickens ,,"Mark Gibson, BT",BT Young Scientist and Technology Exhibtion Gala Dinner - 14 Jan 2017,,Existing long term strategic partner,£60.00,Accepted
ESS,01/11/2016,Colm Doran,,"Paul Murnaghan, BT","NI Chamber of Commerce President's Banquest - 1 Dec, Waterfront Hall",Stakeholder Engagement,Existing long term strategic partner,£60.00,Declined
ESS,23/01/2017,Paul Wickens ,,"Darren Lemon, eir Business NI ",Dublin Tech Summit ,,Existing long term strategic partner,,Declined
ESS,23/01/2017,Caron Alexander ,,"Darren Lemon, eir Business NI ",Dublin Tech Summit ,,Existing long term strategic partner,,Accepted
ESS,01/03/2017,Caron Alexander ,,Deloitte ,TMT Predictions Dinner 2017 - 21 March 2017,Stakeholder Engagement,Consultancy on digital transformation,£60.00,Accepted
ESS,02/03/2017,Caron Alexander ,,"Darren Lemon, eir Business NI ",CBI NI annual Dinner - 27 April 2017 ,Stakeholder Engagement,Existing long term strategic partner,£60.00,Accepted
ESS,07/03/2017,Caron Alexander ,,"Odhran Burke, Cyphra",Ire v Eng Rugby - 18 March 2017,Guest ,N/A,,Declined
ESS,16/03/2017,Caron Alexander ,,"George Maybury, BT",CBI NI annual Dinner - 27 April 2017 ,Stakeholder Event,Existing long term strategic partner,£60.00,Declined
ESS,16/03/2017,Paul Wickens ,,"Claire McAleenan, Deloitte",TNT Predictions Dinner 2017 - 21 March 2017,Stakeholder Engagement,Consultancy on digital transformation,£60.00,Declined
ESS,28/03/2017,Paul Wickens ,,"Stephen Peover, CE Forum ",PwC Dinner - 26 April ,Guest ,None,£60.00,Declined
ESS,30/03/2017,Paul Wickens ,,Prof Mark Durkin ,CBI Annual Dinner  - 27 April 2017,Guest ,Visiting Professor at UU,£60.00,Declined
ESS,21/06/2016,Desi McDonnell,,Stephen Welch  NI Assembly,Lunch Meeting on 29 July 16,Discussion about Stormont Estate,None,£12.00,Accepted
